
time 02h 17m 42s, episodes 87229, frames 2.7M, mean epr 1.39, run loss 193.25, shares of one box (0.92), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 18m 43s, episodes 87901, frames 2.7M, mean epr 1.59, run loss 180.50, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 19m 44s, episodes 88559, frames 2.8M, mean epr 1.40, run loss 178.70, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 20m 44s, episodes 89212, frames 2.8M, mean epr 1.40, run loss 174.15, shares of one box (0.91), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 21m 44s, episodes 89874, frames 2.8M, mean epr 1.50, run loss 175.02, shares of one box (0.90), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 22m 44s, episodes 90546, frames 2.8M, mean epr 1.70, run loss 182.61, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 23m 44s, episodes 91206, frames 2.9M, mean epr 1.56, run loss 162.14, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 24m 45s, episodes 91861, frames 2.9M, mean epr 1.57, run loss 177.16, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 25m 45s, episodes 92526, frames 2.9M, mean epr 1.55, run loss 172.29, shares of one box (0.90), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 26m 45s, episodes 93181, frames 2.9M, mean epr 1.62, run loss 175.54, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 27m 45s, episodes 93845, frames 2.9M, mean epr 1.58, run loss 177.04, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 28m 46s, episodes 94477, frames 3.0M, mean epr 1.70, run loss 191.27, shares of one box (0.91), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 29m 46s, episodes 95113, frames 3.0M, mean epr 1.86, run loss 197.29, shares of one box (0.92), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 30m 46s, episodes 95763, frames 3.0M, mean epr 2.20, run loss 191.54, shares of one box (0.92), two boxes (0.66) and three boxes(0.33) pushed on target, difficulty: 4.0
time 02h 31m 47s, episodes 96401, frames 3.0M, mean epr 2.12, run loss 194.19, shares of one box (0.92), two boxes (0.65) and three boxes(0.33) pushed on target, difficulty: 4.0
time 02h 32m 47s, episodes 97020, frames 3.0M, mean epr 1.98, run loss 197.14, shares of one box (0.91), two boxes (0.65) and three boxes(0.32) pushed on target, difficulty: 4.0
time 02h 33m 47s, episodes 97636, frames 3.1M, mean epr 1.91, run loss 194.78, shares of one box (0.91), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 34m 48s, episodes 98262, frames 3.1M, mean epr 1.63, run loss 178.58, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 35m 48s, episodes 98889, frames 3.1M, mean epr 1.68, run loss 174.39, shares of one box (0.91), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 36m 48s, episodes 99506, frames 3.1M, mean epr 1.58, run loss 178.26, shares of one box (0.90), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 37m 50s, episodes 100122, frames 3.1M, mean epr 1.44, run loss 179.28, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 38m 50s, episodes 100742, frames 3.1M, mean epr 1.38, run loss 175.99, shares of one box (0.91), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
